Маршрут,Оператор,Для чего подходит,Кто подает,Финансирование,Окно / статус на 27.04.2026,Проекты из реестра,Что подготовить первым,Источник,Дата проверки,План подачи с 1 июня 2026,Уверенность / что перепроверить
ФСИ Старт-1,Фонд содействия инновациям,"Технологический MVP, НИОКР, ранняя коммерциализация",Физлицо или малое предприятие по условиям конкурса,до 5 млн ₽; 12 месяцев; без софинансирования на первом этапе,Актуально: прием заявок по Старт-1 до 01.06.2026; смежные треки смотреть на сайте Фонда,ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-004; ТП-2026-006; ТП-2026-007; ТП-2026-011; ТП-2026-013; ТП-2026-025; ТП-2026-026; ТП-2026-027,"Паспорт проекта, новизна, MVP, рынок, команда, смета, письма пилотов",https://www.fasie.ru/programs/programma-start/,27.04.2026,Подавать только готовые пакеты к 01.06; остальные переносить в следующий трек/окно ФСИ,Высокая по текущему листу; 01.06 проверить дедлайн и требования
ФСИ Старт-Пром,Фонд содействия инновациям,Промышленные и производственные технологические решения,Физлицо или малое предприятие не старше 2 лет,до 5 млн ₽; без софинансирования,Актуально: прием заявок до 12.05.2026,ТП-2026-027; ТП-2026-015 при гражданском контуре; ТП-2026-002,"Техническое решение, промышленная применимость, расчет себестоимости, план НИОКР",https://www.fasie.ru/programs/programma-start/,27.04.2026,Оставить как архив раннего окна; с июня мониторить повтор/смежный промышленный трек,Средняя; перепроверить повторный набор
ФСИ УМНИК,Фонд содействия инновациям,НИР молодых исследователей и ранние научно-технические идеи,Молодой исследователь по условиям программы,500 тыс ₽; до 12 месяцев; НИР,Действующая программа; конкретные региональные окна проверять отдельно,ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-018; ТП-2026-007; ТП-2026-005,"Научная новизна, роль автора, план НИР, ожидаемый результат",https://fasie.ru/programs/programma-umnik/,27.04.2026,С июня отобрать студентов/молодых исследователей под 3-5 заявок,Высокая как маршрут; окна регионов проверить
ФСИ Студенческий стартап,Фонд содействия инновациям,Студенческий стартап с последующим созданием юрлица,Студенты вузов по условиям конкурса,1 млн ₽; 12 месяцев,Седьмая очередь 2026 завершила прием; держать в мониторинге новые очереди,ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-018; ТП-2026-007,"Команда, бизнес-гипотеза, MVP, план создания ООО, смета",https://fasie.ru/programs/programma-studstartup/,27.04.2026,С июня готовить пул студенческих заявок под новую очередь/2027,Средняя; проверить появление новой очереди
Новатор Москвы,ДПИР Москвы / Московский инновационный кластер,Премия для инновационных разработок на разных стадиях,"Граждане РФ от 14 лет, связанные с Москвой, индивидуально или команда до 5 человек","призовой фонд 20,7 млн ₽; победители до 1,5 млн ₽",Актуально: прием заявок с 10.02.2026 по 05.05.2026,ТП-2026-001; ТП-2026-004; ТП-2026-011; ТП-2026-027; ТП-2026-017; ТП-2026-006,"Короткая презентация, описание технологии, стадия готовности, команда",https://i.moscow/novator,27.04.2026,Оставить как прошедшее/раннее окно; использовать материалы для следующего сезона и МИК,Высокая по текущему листу; следующий сезон проверить
Грант на пилотное тестирование МИК,Московский инновационный кластер,Апробация инновационного решения на городской инфраструктуре,Участник Московского инновационного кластера,до 4 млн ₽ для участников межотраслевых кластеров; до 2 млн ₽ для иных участников,Актуально как городская мера поддержки; доступность окна проверять перед подачей,ТП-2026-001; ТП-2026-004; ТП-2026-006; ТП-2026-009; ТП-2026-011; ТП-2026-013; ТП-2026-024; ТП-2026-026,"Пилотная площадка, план тестирования, смета, ожидаемые показатели",https://i.moscow/pilot/grant,27.04.2026,"С июня готовить 2-3 пилота: медтех, VR соцслужбы, AI-сервис",Высокая как маршрут; проверить доступность лимитов и статус участника МИК
"ПФКИ 2027, первый конкурс",Президентский фонд культурных инициатив,"Культура, искусство, креативные индустрии, цифровой контент","Организации, ИП, НКО и команды по условиям конкурса",по условиям конкурса,Актуально: прием заявок до 30.06.2026,ТП-2026-010; ТП-2026-017; ТП-2026-007 при культурном контенте,"Сценарий проекта, культурный продукт, аудитория, визуалы, партнеры, смета",https://фондкультурныхинициатив.рф/,27.04.2026,Приоритет июня: XR-музеи и цифровая мода; подать до 30.06 при наличии партнера,Высокая по текущему листу; перепроверить положение конкурса
"РНФ, прикладные и ориентированные исследования",Российский научный фонд,"Научные и прикладные исследования, технологические предложения",Научная группа / организация по условиям конкурса,по конкурсной документации,"Актуально: ряд конкурсов открыт до 22.05.2026, 11.06.2026 и далее",ТП-2026-005; ТП-2026-016; ТП-2026-013; ТП-2026-009; ТП-2026-024; ТП-2026-007,"Научная гипотеза, методика, публикационный план, команда, база исследований",https://rscf.ru/contests/,27.04.2026,С июня держать научные заявки с дедлайном 11.06 и осенними окнами,Высокая как научный маршрут; проверить конкретные конкурсы
Росмолодежь.Гранты,Росмолодежь,"Молодежные социальные, образовательные и творческие инициативы",Физлица/команды/организации по конкретному конкурсу,обычно до 1 млн ₽ для физлиц; параметры уточнять в сезоне,Мониторить новые сезоны и форумные конкурсы 2026,ТП-2026-008; ТП-2026-028; ТП-2026-026; ТП-2026-018; ТП-2026-019; ТП-2026-009,"Календарный план, охват, медиаплан, смета, команда",https://fadm.gov.ru/directions/grant/,27.04.2026,"С июня упаковать инженерные интенсивы, робототехнику и цифровое портфолио",Высокая как маршрут; проверить форумные и вузовские окна
Гранты Первых,Движение Первых,Мероприятия и проектная активность для детей и молодежи,Юрлица и ИП по условиям конкурса,по условиям конкурса,"Годовой цикл: подача в январе-феврале, экспертиза весной; 2026 окно учитывать на следующий цикл",ТП-2026-008; ТП-2026-028; ТП-2026-026; ТП-2026-019,"Программа мероприятий, детско-молодежная аудитория, наставники, календарь, смета",https://будьвдвижении.рф/,27.04.2026,С июня готовить задел на следующий цикл и партнерские письма школ,Средняя; проверить новый цикл и требования к юрлицам
