Маршрут;Оператор;Для чего подходит;Кто подает;Финансирование;Окно / статус на 27.04.2026;Проекты из реестра;Что подготовить первым;Источник;Дата проверки;План подачи с 1 июня 2026;Уверенность / что перепроверить
ФСИ Старт-1;Фонд содействия инновациям;"Технологический MVP, НИОКР, ранняя коммерциализация";Физлицо или малое предприятие по условиям конкурса;"до 5 млн ₽; 12 месяцев; без софинансирования на первом этапе";Актуально: прием заявок по Старт-1 до 01.06.2026;"TP-001; TP-002; TP-004";"Паспорт проекта, новизна, MVP, рынок, команда, смета, письма пилотов";https://www.fasie.ru/programs/programma-start/;27.04.2026;Подавать только готовые пакеты к 01.06;Высокая
ФСИ Старт-Пром;Фонд содействия инновациям;Промышленные и производственные технологические решения;Физлицо или малое предприятие не старше 2 лет;"до 5 млн ₽; без софинансирования";Актуально: прием заявок до 12.05.2026;"TP-002; TP-004";"Техническое решение, промышленная применимость, расчет себестоимости, план НИОКР";https://www.fasie.ru/programs/programma-start/;27.04.2026;"Оставить как архив раннего окна; с июня мониторить повтор или смежный промышленный трек";"Средняя; перепроверить повторный набор"
ФСИ УМНИК;Фонд содействия инновациям;НИР молодых исследователей и ранние научно-технические идеи;Молодой исследователь по условиям программы;"500 тыс ₽; до 12 месяцев; НИР";"Действующая программа; конкретные региональные окна проверять отдельно";"TP-001; TP-007";"Научная новизна, роль автора, план НИР, ожидаемый результат";https://fasie.ru/programs/programma-umnik/;27.04.2026;"С июня отобрать студентов и молодых исследователей под 3-5 заявок";"Высокая как маршрут; окна регионов проверить"
ФСИ Студенческий стартап;Фонд содействия инновациям;Студенческий стартап с последующим созданием юрлица;Студенты вузов по условиям конкурса;"1 млн ₽; 12 месяцев";Седьмая очередь 2026 завершила прием; держать в мониторинге новые очереди;"TP-001; TP-007; TP-008";"Команда, бизнес-гипотеза, MVP, план создания ООО, смета";https://fasie.ru/programs/programma-studstartup/;27.04.2026;"С июня готовить пул студенческих заявок под новую очередь или 2027";"Средняя; проверить появление новой очереди"
Новатор Москвы;ДПИР Москвы / Московский инновационный кластер;Премия для инновационных разработок на разных стадиях;"Граждане РФ от 14 лет, связанные с Москвой, индивидуально или команда до 5 человек";"призовой фонд 20,7 млн ₽; победители до 1,5 млн ₽";Актуально: прием заявок с 10.02.2026 по 05.05.2026;"TP-001; TP-004; TP-006";"Короткая презентация, описание технологии, стадия готовности, команда";https://i.moscow/novator;27.04.2026;"Оставить как прошедшее или раннее окно; использовать материалы для следующего сезона и МИК";"Высокая по текущему листу; следующий сезон проверить"
Грант на пилотное тестирование МИК;Московский инновационный кластер;Апробация инновационного решения на городской инфраструктуре;Участник Московского инновационного кластера;"до 4 млн ₽ для участников межотраслевых кластеров; до 2 млн ₽ для иных участников";"Актуально как городская мера поддержки; доступность окна проверять перед подачей";"TP-001; TP-004; TP-006";"Пилотная площадка, план тестирования, смета, ожидаемые показатели";https://i.moscow/pilot/grant;27.04.2026;"С июня готовить 2-3 пилота: медтех, VR соцслужбы, AI-сервис";"Высокая как маршрут; проверить доступность лимитов и статус участника МИК"
"ПФКИ 2027, первый конкурс";Президентский фонд культурных инициатив;"Культура, искусство, креативные индустрии, цифровой контент";"Организации, ИП, НКО и команды по условиям конкурса";по условиям конкурса;Актуально: прием заявок до 30.06.2026;"TP-002; TP-007";"Сценарий проекта, культурный продукт, аудитория, визуалы, партнеры, смета";https://фондкультурныхинициатив.рф/;27.04.2026;"Приоритет июня: XR-музеи и цифровая мода; подать до 30.06 при наличии партнера";"Высокая по текущему листу; перепроверить положение конкурса"
Фонд президентских грантов;Фонд президентских грантов;"Социальные проекты, НКО, просвещение, помощь семьям и уязвимым группам";НКО или партнерская организация по условиям конкурса;по условиям конкурса;Окно следующего конкурса проверить на сайте фонда;"TP-003; TP-006";"Социальная значимость, календарный план, бюджет, письма партнеров";https://президентскиегранты.рф/;27.04.2026;"С июня довести паспорта социальных проектов и собрать партнерские письма";"Средняя; даты окна обязательно перепроверить"
Росмолодежь.Гранты;Росмолодежь;"Молодежные инициативы, студенческие проекты, карьерные и социальные сервисы";Физлица или организации по условиям конкурса;по условиям конкурса;Окна зависят от сезона и конкурса;"TP-005; TP-008";"Целевая аудитория, календарь мероприятий, медиаплан, смета";https://grants.myrosmol.ru/;27.04.2026;"С июня собрать молодежные проекты в отдельный пакет";"Средняя; перепроверить сезонные окна"
Приоритет-2030;Минобрнауки России;"Университетские стратегические проекты, технологические и образовательные решения";Университет или проектная команда через университет;по условиям программы;Внутренние сроки университета уточнять отдельно;"TP-004; TP-008";"Связь со стратегическим проектом, KPI, эффект для университета";https://priority2030.ru/;27.04.2026;"С июня отобрать проекты с сильным эффектом для университета";"Средняя; уточнить внутренний контур подачи"
